Date,Malaria Cases,Malaria Deaths,Temperature,Rainfall,Humidity,Population,Health Facility Coverage,Environmental Factors
2020-01-01,1250,45,28.5,120,75,500000,65,0.3
2020-02-01,1100,38,29.0,95,72,502000,65,0.25
2020-03-01,980,32,30.2,80,68,504000,66,0.2
2020-04-01,890,28,31.5,60,65,506000,66,0.15
2020-05-01,750,22,32.0,45,62,508000,67,0.1
2020-06-01,680,18,31.8,55,64,510000,67,0.12
2020-07-01,820,25,30.5,90,70,512000,68,0.22
2020-08-01,1050,35,29.5,130,76,514000,68,0.35
2020-09-01,1350,48,28.8,150,80,516000,69,0.4
2020-10-01,1450,52,28.0,140,82,518000,69,0.45
2020-11-01,1380,50,27.5,125,80,520000,70,0.42
2020-12-01,1200,42,27.8,110,78,522000,70,0.38
2021-01-01,1150,40,28.2,115,76,525000,71,0.35
2021-02-01,1080,36,28.8,100,74,528000,71,0.3
2021-03-01,950,30,30.0,85,70,531000,72,0.25
2021-04-01,850,25,31.2,65,66,534000,72,0.18
2021-05-01,720,20,31.8,50,63,537000,73,0.12
2021-06-01,650,16,31.5,60,65,540000,73,0.14
2021-07-01,780,22,30.2,95,72,543000,74,0.24
2021-08-01,1000,32,29.0,135,78,546000,74,0.38
2021-09-01,1300,45,28.2,155,82,549000,75,0.45
2021-10-01,1400,50,27.5,145,84,552000,75,0.48
2021-11-01,1320,47,27.0,130,82,555000,76,0.44
2021-12-01,1180,40,27.2,115,80,558000,76,0.4
2022-01-01,1200,42,27.8,110,78,562000,77,0.36
2022-02-01,1120,38,28.5,95,75,566000,77,0.32
2022-03-01,980,32,29.8,80,70,570000,78,0.26
2022-04-01,880,26,31.0,60,67,574000,78,0.2
2022-05-01,740,21,31.6,48,64,578000,79,0.14
2022-06-01,670,17,31.3,58,66,582000,79,0.16
2022-07-01,800,24,30.0,92,73,586000,80,0.26
2022-08-01,1020,34,28.8,132,79,590000,80,0.4
2022-09-01,1330,46,28.0,152,83,594000,81,0.48
2022-10-01,1420,51,27.3,142,85,598000,81,0.5
2022-11-01,1350,48,26.8,128,83,602000,82,0.46
2022-12-01,1210,41,27.0,112,80,606000,82,0.42
2023-01-01,1180,39,27.5,108,77,610000,83,0.38
2023-02-01,1100,36,28.2,93,74,614000,83,0.34
2023-03-01,960,30,29.5,78,69,618000,84,0.28
2023-04-01,860,25,30.8,58,66,622000,84,0.22
2023-05-01,730,20,31.4,46,63,626000,85,0.15
2023-06-01,660,16,31.1,56,65,630000,85,0.17
2023-07-01,790,23,29.8,90,72,634000,86,0.28
2023-08-01,1010,33,28.5,130,78,638000,86,0.42
2023-09-01,1310,44,27.8,150,82,642000,87,0.5
2023-10-01,1400,49,27.0,140,84,646000,87,0.52
2023-11-01,1330,46,26.5,125,82,650000,88,0.48
2023-12-01,1190,40,26.8,110,79,654000,88,0.44
2024-01-01,1220,41,27.2,105,76,658000,89,0.4
2024-02-01,1140,37,28.0,90,73,662000,89,0.36
2024-03-01,1000,31,29.2,75,68,666000,90,0.3
2024-04-01,900,26,30.5,55,65,670000,90,0.24
2024-05-01,760,20,31.2,42,62,674000,91,0.16
2024-06-01,690,17,30.9,52,64,678000,91,0.18
2024-07-01,830,24,29.5,88,71,682000,92,0.3
2024-08-01,1060,35,28.2,128,77,686000,92,0.44
2024-09-01,1360,47,27.5,148,81,690000,93,0.52
2024-10-01,1450,52,26.8,138,83,694000,93,0.54
2024-11-01,1380,49,26.2,122,81,698000,94,0.5
2024-12-01,1240,42,26.5,108,78,702000,94,0.46
